Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Connor McDavid,20202021,EDM,L,C,56,33,72,105,21,20,1.88,24,68,9,37,0,0,2,11,200,16.5,22:09,49.5
Leon Draisaitl,20202021,EDM,L,C,56,31,53,84,29,22,1.5,15,51,15,32,1,1,0,8,168,18.5,22:11,55.7
Brad Marchand,20202021,BOS,L,L,53,29,40,69,26,46,1.3,21,44,4,18,4,7,1,5,143,20.3,18:55,31.4
Mitchell Marner,20202021,TOR,R,R,55,20,47,67,21,20,1.22,20,51,0,14,0,2,0,5,156,12.8,22:26,80
Patrick Kane,20202021,CHI,L,R,56,15,51,66,-7,14,1.18,12,44,3,22,0,0,0,3,191,7.9,22:14,28.6
Auston Matthews,20202021,TOR,L,C,52,41,25,66,21,10,1.27,31,53,10,13,0,0,2,12,222,18.5,21:33,51.9
Mikko Rantanen,20202021,COL,L,R,52,30,36,66,30,34,1.27,21,42,9,24,0,0,0,7,177,17,19:55,50
Nathan MacKinnon,20202021,COL,R,C,48,20,45,65,22,37,1.35,12,40,8,25,0,0,0,2,206,9.7,20:22,48.5
Mark Scheifele,20202021,WPG,R,C,56,21,42,63,-4,12,1.13,17,46,4,17,0,0,0,4,126,16.7,20:58,49.8
Sidney Crosby,20202021,PIT,L,C,55,24,38,62,8,26,1.13,18,39,5,22,1,1,2,5,159,15.1,20:24,53.6
Mark Stone,20202021,VGK,R,R,55,21,40,61,26,28,1.11,14,43,6,17,1,1,0,8,98,21.4,19:04,40
Jonathan Huberdeau,20202021,FLA,L,L,55,20,41,61,12,36,1.11,15,37,5,24,0,0,1,1,122,16.4,18:25,43.6
David Perron,20202021,STL,R,L,56,19,39,58,6,22,1.04,13,37,6,21,0,0,1,2,151,12.6,18:33,0
Aleksander Barkov,20202021,FLA,L,C,50,26,32,58,12,14,1.16,18,38,7,19,1,1,2,6,176,14.8,20:56,54.9
Artemi Panarin,20202021,NYR,R,L,42,17,41,58,14,6,1.38,12,40,5,18,0,0,0,1,106,16,19:39,0
Sebastian Aho,20202021,CAR,L,C,56,24,33,57,16,32,1.02,14,36,7,18,3,3,1,7,148,16.2,19:28,52.8
Jake Guentzel,20202021,PIT,L,L,56,23,34,57,7,28,1.02,17,38,6,18,0,1,1,7,141,16.3,20:16,25
Alex DeBrincat,20202021,CHI,R,L,52,32,24,56,3,12,1.08,22,37,9,18,1,1,3,7,155,20.7,20:32,40
Ryan O'Reilly,20202021,STL,L,C,56,24,30,54,26,18,0.96,18,40,4,12,2,2,2,4,129,18.6,20:45,58.8
Nicklas Backstrom,20202021,WSH,L,C,55,15,38,53,0,14,0.96,10,31,5,22,0,0,0,0,91,16.5,18:36,48.3
Gabriel Landeskog,20202021,COL,L,L,54,20,32,52,14,34,0.96,11,37,9,15,0,0,2,8,155,12.9,19:57,56.6
